measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latin America and Caribbean,Male,Age-standardized,Ischemic heart disease,Rate,1992,149.0472150378821,152.66659304760793,142.21472931559083
Deaths,Latin America and Caribbean,Female,Age-standardized,Ischemic heart disease,Rate,1992,109.4509078816628,113.50291919417161,101.30672277609875
Deaths,Latin America and Caribbean,Both,Age-standardized,Ischemic heart disease,Rate,1992,128.40910089275624,132.1235471962115,120.90765820286279
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Diabetes mellitus type 2,Number,1990,60348.38390216472,67844.93442193374,53066.5251988281
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Diabetes mellitus type 2,Number,1990,80148.77498156624,90572.34243710712,70431.90868823833
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Diabetes mellitus type 2,Number,1990,140497.15888373097,153068.96794409244,126701.63686492255
Deaths,"Southeast Asia, East Asia, and Oceania",Male,All ages,Diabetes mellitus type 2,Rate,1990,7.004373371793907,7.874465252400083,6.159199832739333
Deaths,"Southeast Asia, East Asia, and Oceania",Female,All ages,Diabetes mellitus type 2,Rate,1990,9.68079418829482,10.939807956978202,8.507139534651984
Deaths,"Southeast Asia, East Asia, and Oceania",Both,All ages,Diabetes mellitus type 2,Rate,1990,8.31591758364594,9.060033186081835,7.499371362759559
Deaths,"Southeast Asia, East Asia, and Oceania",Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,13.534924304433037,15.303358166730987,11.983694512434298
Deaths,"Southeast Asia, East Asia, and Oceania",Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,15.185677858219586,17.073198878365258,13.249631030206888
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,14.338413281588497,15.615621276153446,12.888627659056045
Deaths,Sub-Saharan Africa,Male,All ages,Ischemic heart disease,Number,1992,90953.86066689773,103001.28123526306,79690.20079458172
Deaths,Sub-Saharan Africa,Female,All ages,Ischemic heart disease,Number,1992,77915.57962463373,89995.07030400686,67218.52367658394
Deaths,Sub-Saharan Africa,Both,All ages,Ischemic heart disease,Number,1992,168869.4402915315,188090.8767711716,152600.20488906643
Deaths,Sub-Saharan Africa,Male,All ages,Ischemic heart disease,Rate,1992,35.386594660264684,40.07377544872832,31.00434454608348
Deaths,Sub-Saharan Africa,Female,All ages,Ischemic heart disease,Rate,1992,29.754075327359264,34.36694065316082,25.66912838872901
Deaths,Sub-Saharan Africa,Both,All ages,Ischemic heart disease,Rate,1992,32.544087461977405,36.24839363400196,29.408721945497557
Deaths,Sub-Saharan Africa,Male,Age-standardized,Ischemic heart disease,Rate,1992,100.54684428340859,113.41802057842237,88.82384691570279
